Licensee Name,Street,City,State,Zip,Licensee Number,Channel Type,Account Name,RTD Contract,Location
BARRILES RESTAURANT & SPORTS BAR,7637 NEW HAMPSHIRE AVENUE,TAKOMA PARK,MD,20912,BBWLHR1522544,On Premise,JVJ ENTERPRICES LLC,No,"7637 NEW HAMPSHIRE AVENUE
TAKOMA PARK, MD 20912
(38.98693, -76.98768)"
GRAPE ESCAPE,223 KENTLANDS BLVD,GAITHERSBURG,MD,20878,DBW1579544,On/Off-Premise,"CASA DI VINO, LLC",Yes,"223 KENTLANDS BLVD
GAITHERSBURG, MD 20878
(39.12321, -77.23582)"
OLNEY STATION,3418 OLNEY-LAYTONSVILLE ROAD,OLNEY,MD,20832,BBWLHR21342,On Premise,"SARDIS FUSION, INC",No,"3418 OLNEY-LAYTONSVILLE ROAD
OLNEY, MD 20832
(39.15299, -77.06773)"
CURRY PLACE-SILVER SPRING,11229 NEW HAMPSHIRE AVENUE,SILVER SPRING,MD,20904,HBWHR1798544,On Premise,CURRY PLACE THREE LLC,No,"11229 NEW HAMPSHIRE AVENUE
SILVER SPRING, MD 20904
(39.04136, -76.98882)"
AKIRA RAMEN & IZAKAYA,105 PARAMOUNT PARK DRIVE,GAITHERSBURG,MD,20879,BBWLHR1170498,On Premise,AKIRA GAI INC,No,"105 PARAMOUNT PARK DRIVE
GAITHERSBURG, MD 20879
(39.15946, -77.22169)"
Q BY PETER CHANG,4500 EAST WEST HIGHWAY SUITE 100,BETHESDA,MD,20814,BBWLHR27709,On Premise,"CHANG'S HOME, LLC",No,"4500 EAST WEST HIGHWAY SUITE 100
BETHESDA, MD 20814
(38.98503, -77.09126)"
ALATRI BROS.,4926 CORDELL AVENUE,BETHESDA,MD,20814,BBWLHR28339,On Premise,BRIGGS MANAGEMENT LLC,No,"4926 CORDELL AVENUE
BETHESDA, MD 20814
(38.98868, -77.09878)"
LEDO'S PIZZA COLESVILLE,13444 NEW HAMPSHIRE AVE,COLESVILLE,MD,20904,HBWHR28449,On Premise,"MHI HOTELS SERVICES, LLC",No,"13444 NEW HAMPSHIRE AVE
COLESVILLE, MD 20904
(39.07709, -77.00249)"
POYOTECA,14921 SHADY GROVE RD.,ROCKVILLE,MD,20850,BBWHR616352,On/Off-Premise,"POYOTECA ROCKVILLE, INC.",No,"14921 SHADY GROVE RD.
ROCKVILLE, MD 20850
(39.09704, -77.19343)"
BARREL & CROW,4867 CORDELL AVENUE,BETHESDA,MD,20814,BBWLHR20279,On Premise,"BARREL AND CROW, LLC",No,"4867 CORDELL AVENUE
BETHESDA, MD 20814
(38.98965, -77.09783)"
ASBURY METHODIST VILLAGE,201 RUSSELL AVENUE,GAITHERSBURG,MD,20877,CBWLRC004,On Premise,"IVA, INC",No,"201 RUSSELL AVENUE
GAITHERSBURG, MD 20877
(39.14658, -77.19735)"
NIWANO HANA,887 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR35795,On/Off-Premise,"NIWANO HANA HS,INC.",No,"887 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.07498, -77.13694)"
COLESVILLE BEER & WINE,13468 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904,ABWS038,Off Premise,"COLESVILLE BEER AND WINE, INC.",Yes,"13468 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20904
(39.07702, -77.00185)"
THE NIBBLER,18556 WOODFIELD RD.,GAITHERSBURG,MD,20879,BBWHR387274,On/Off-Premise,"RP GROUP, LLC",No,"18556 WOODFIELD RD.
GAITHERSBURG, MD 20879
(39.16147, -77.15955)"
OLD TOWN MARKET,10251 KENSINGTON PARKWAY,KENSINGTON,MD,20895,ABWS243,Off Premise,"COOPERSMITH, INC",Yes,"10251 KENSINGTON PARKWAY
KENSINGTON, MD 20895
(39.02499, -77.07101)"
COPPER CANYON GRILL  - GAITHERSBURG,100 BOARDWALK PLACE,GAITHERSBURG,MD,20878,BBWLHR340,On Premise,"CANYON GRILL ENTERPRISES, LLC",No,"100 BOARDWALK PLACE
GAITHERSBURG, MD 20878
(39.11755, -77.19893)"
FIESTA BEER AND WINE,"1337 UNIVERSITY BLVD, E",TAKOMA PARK,MD,20912,DBW1232520,On/Off-Premise,"AARYA, LLC",Yes,"1337 UNIVERSITY BLVD, E
TAKOMA PARK, MD 20912
(38.98718, -76.9857)"
MOSUN'S KITCHEN,303 Muddy Branch Road,Gaithersburg,MD,20878,BBWHR1143498,On/Off-Premise,Mosun's Kitchen LLC,No,"303 Muddy Branch Road
Gaithersburg, MD 20878
(39.12812, -77.20879)"
FRATERNAL ORDER OF EAGLES 3509,211 N. FREDERICK AVE,GAITHERSBURG,MD,20877,CBWLFV997426,On Premise,FRATERNAL ORDER OF EAGLES 3509,No,"211 N. FREDERICK AVE
GAITHERSBURG, MD 20877
(39.14447, -77.20133)"
POOLESVILLE GOLF COURSE,16601 WEST WILLARD ROAD,POOLESVILLE,MD,20837,BBWLCL084,On Premise,MONTGOMERY COUNTY REVENUE AUTH,No,"16601 WEST WILLARD ROAD
POOLESVILLE, MD 20837
(39.1271, -77.42429)"
MILK & HONEY CAFE,9326 GEORGIA AVE.,SILVER SPRING,MD,20910,BBWLHR749361,On Premise,"WILLIE T'S LOBSTER SHACK, LLC",No,"9326 GEORGIA AVE.
SILVER SPRING, MD 20910
(39.00793, -77.0402)"
QUALITY BEER & WINE,13826 OLD COLUMBIA PIKE,SILVER SPRING,MD,20904,ABW1071811,Off Premise,"BONG & KWON, INC",Yes,"13826 OLD COLUMBIA PIKE
SILVER SPRING, MD 20904
(39.08418, -76.95205)"
N-CONCLAVE RESTAURANT,6834 NEW HAMPSHIRE AVENUE,TAKOMA PARK,MD,20912,DBWL1815544,On Premise,"CONCLAVE RESTAURANT AND LOUNGE, LLC",No,"6834 NEW HAMPSHIRE AVENUE
TAKOMA PARK, MD 20912
(38.97441, -76.99561)"
DON POLLO-GERMANTOWN,21040-A FREDERICK ROAD,GERMANTOWN,MD,20876,HBWHR35720,On Premise,"DON POLLO OF GERMANTOWN, LLC",No,"21040-A FREDERICK ROAD
GERMANTOWN, MD 20876
(39.20118, -77.24674)"
GIANT FOOD STORE 350,11221 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904,ABWS1061476,Off Premise,GIANT OF MARYLAND LLC,No,"11221 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20904
(39.04128, -76.98903)"
WOODMONT GRILL,7715 WOODMONT AVE,BETHESDA,MD,20814,BBWLHR241,On Premise,"HILLSTONE RESTAURANT GROUP,INC",No,"7715 WOODMONT AVE
BETHESDA, MD 20814
(38.98789, -77.09602)"
K-POT KOREAN BBQ & HOT POT,19727 FREDERICK ROAD,GERMANTOWN,MD,20876,BBWLHR945414,On Premise,KHP GERMANTOWN LLC,No,"19727 FREDERICK ROAD
GERMANTOWN, MD 20876
(39.1795, -77.23836)"
MISSION BBQ,885 ROCKVILLE PIKE,ROCKVILLE,MD,20852,HBW27623,On Premise,"MISSION BBQ ROCKVILLE, LLC",No,"885 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.07503, -77.1373)"
ZT-LEDO PIZZA - WESTLAKE,,,,,HBW011,On Premise,WESTLAKE DRIVE PIZZA INC.,No,
WARREN STREET DELI,9226 WARREN STREET,SILVER SPRING,MD,20910,ABW973415,Off Premise,"WARREN  STREET DELI, LLC",No,"9226 WARREN STREET
SILVER SPRING, MD 20910
(39.00665, -77.04911)"
KIELBASA FACTORY,1073 ROCKVILLE PIKE,ROCKVILLE,MD,20852,DBW849394,On/Off-Premise,"SMOLAVI, LLC",No,"1073 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.07103, -77.1328)"
DON RAMON RESTAURANT,13816 OLD COLUMBIA PIKE,SILVER SPRING,MD,20904,BBWLHR1225508,On Premise,"RC ARBAIZA ENTERPRISE, INC",No,"13816 OLD COLUMBIA PIKE
SILVER SPRING, MD 20904
(39.08344, -76.95232)"
CRAFT BEER AND WINE,4459 WILLARD AVE,CHEVY CHASE,MD,20815,DBW1027433,On/Off-Premise,CRAFT BEER AND WINE LLC,Yes,"4459 WILLARD AVE
CHEVY CHASE, MD 20815
(38.96191, -77.08822)"
GRILLMARX STEAKHOUSE,18149 TOWN CENTER DRIVE,OLNEY,MD,20832,BBWLHR658,On Premise,"GRILLMARX, LLC",No,"18149 TOWN CENTER DRIVE
OLNEY, MD 20832
(39.15329, -77.06117)"
GESTE FOODS & WINE,4801 EDGEMOOR LANE,BETHESDA,MD,20814,ABWS268,Off Premise,"GESTE FOODS AND WINES, LLC",Yes,"4801 EDGEMOOR LANE
BETHESDA, MD 20814
(38.98541, -77.0958)"
GREGORIO'S TRATTORIA,12505 PARK POTOMAC AVE,POTOMAC,MD,20854,BBWLHR1269550,On Premise,"GREGORIO'S AT PARK POTOMAC, LLC",No,"12505 PARK POTOMAC AVE
POTOMAC, MD 20854
(39.06025, -77.15709)"
MAMMA LUCIA - ROCKVILLE,"12274 ROCKVILLE PIKE, SUITE M",ROCKVILLE,MD,20852,BBWLHR387,On Premise,"MAMMA LUCIA OF MONTGOMERY, INC",No,"12274 ROCKVILLE PIKE, SUITE M
ROCKVILLE, MD 20852
(39.05785, -77.12066)"
SOLAIRE SOCIAL,8200 DIXON AVE,SILVER SPRING,MD,20910,BDBWL937417,On/Off-Premise,"SOLAIRE RIPLEY II, LLC",No,"8200 DIXON AVE
SILVER SPRING, MD 20910
(38.99171, -77.02805)"
HOUSE OF FOONG LIN,4613 WILLOW LANE,CHEVY CHASE,MD,20815,BBWLHR775,On Premise,"CFK, LLC",No,"4613 WILLOW LANE
CHEVY CHASE, MD 20815
(38.98149, -77.09202)"
HOUSE OF CURRY,9805 MAIN STREET SUITE 207,DAMASCUS,MD,20872,HBWHR1662545,On Premise,HOUSE OF CURRY LLC,No,"9805 MAIN STREET SUITE 207
DAMASCUS, MD 20872
(39.28826, -77.20359)"
MELINA,905 ROSE AVENUE,ROCKVILLE,MD,20852,BBWLHR479301,On Premise,"DTI MELINA, LLC",No,"905 ROSE AVENUE
ROCKVILLE, MD 20852
(39.05117, -77.11584)"
AMERICAN LEGION POST #171,"10201 LEWIS DRIVE, P.O. BOX 171",DAMASCUS,MD,20872,CBWLC20177,On Premise,DEPT. MD DAMASCUS AMER. LG. # 171,No,"10201 LEWIS DRIVE, P.O. BOX 171
DAMASCUS, MD 20872
(39.29173, -77.21172)"
BETHESDA MARKET,"4611 SANGAMORE ROAD, UNIT D",BETHESDA,MD,20816,DBW146,On/Off-Premise,OM SAI RAM INC.,Yes,"4611 SANGAMORE ROAD, UNIT D
BETHESDA, MD 20816
(38.94875, -77.11848)"
EL TACO LOCO,8417 GEORGIA AVENUE,SILVER SPRING,MD,20910,BBWLHR1259530,On Premise,"EL TACO LOCO, INC",No,"8417 GEORGIA AVENUE
SILVER SPRING, MD 20910
(38.99382, -77.02667)"
CALLEVA FARM,19120 MARTINSBURG RD,DICKERSON,MD,20842,DBWL997425,On Premise,CALLEVA INC,No,"19120 MARTINSBURG RD
DICKERSON, MD 20842
(39.16978, -77.47375)"
GERMANTOWN WINE AND BEER,19590 N. FREDERICK AVENUE,GERMANTOWN,MD,20876,DBW926409,On/Off-Premise,"GERMANTOWN WINE AND BEER, LLC",Yes,"19590 N. FREDERICK AVENUE
GERMANTOWN, MD 20876
(39.17716, -77.23901)"
BARBERRYS BAR & LOUNGE,2423 HICKERSON DR.,SILVER SPRING,MD,20902,BBWLHR629355,On Premise,"JOSVIC ENTERPRISES, LLC",No,"2423 HICKERSON DR.
SILVER SPRING, MD 20902
(39.04233, -77.05105)"
GREGORIO'S TRATTORIA AT SUMNER PLACE,4611A SANGAMORE LN.,BETHESDA,MD,20816,BBWLHR391274,On Premise,"GREGORIO'S AT SUMNER PLACE, LLC",No,"4611A SANGAMORE LN.
BETHESDA, MD 20816
(38.94875, -77.11848)"
HAMPTON INN & SUITES,960 FREDERICK AVENUE,GAITHERSBURG,MD,20879,DBW153,On/Off-Premise,"MCC HOSPITALITY, LLC",No,"960 FREDERICK AVENUE
GAITHERSBURG, MD 20879
(39.1596, -77.22019)"
EL AMATE RESTAURANT,11452 CHERRY HILL ROAD,BELTSVILLE,MD,20705,BBWLHR172,On Premise,"EL AMATE RESTAURANT, INC.",No,"11452 CHERRY HILL ROAD
BELTSVILLE, MD 20705
(39.0448, -76.95161)"
SIRIWAN 4 SECTORS,20640 SENECA MEADOWS PKWY,GERMANTOWN,MD,20876,BBWLHR40920,On Premise,"SIRIWAN, LLC",No,"20640 SENECA MEADOWS PKWY
GERMANTOWN, MD 20876
(39.19877, -77.2548)"
DELHI SPICE,4925 BETHESDA AVE,BETHESDA,MD,20814,BBWLHR951413,On Premise,MATSYA LLC,No,"4925 BETHESDA AVE
BETHESDA, MD 20814
(38.98098, -77.09949)"
EL TEJANO RESTAURANT II,"2646 UNIVERSITY BLVD, WEST",SILVER SPRING,MD,20874,BBWLHR1679544,On Premise,JOSAM 5 LLC,No,"2646 UNIVERSITY BLVD, WEST
SILVER SPRING, MD 20874
(39.04053, -77.05404)"
N- RTD TEST CUSTOMER1,901 Edison Park Dr,Gaithersburg,MD,00000,BW13219918,Off Premise,RTD TEST CUSTOMER1,No,"901 Edison Park Dr
Gaithersburg, MD 00000"
COMUS INN,23900 OLD HUNDRED ROAD,DICKERSON,MD,20842,BDBWL1238537,On/Off-Premise,10 RULES LLC,No,"23900 OLD HUNDRED ROAD
DICKERSON, MD 20842
(39.24739, -77.34992)"
AP PIZZA SHOP NEIGHBORHOOD PIZZERIA & AVENTINO ROMAN ITALIAN,4747 BETHESDA AVENUE,BETHESDA,MD,20814,BBWLHR834400,On Premise,"NO PLACE LIKE ROME, LLC",No,"4747 BETHESDA AVENUE
BETHESDA, MD 20814
(38.98099, -77.09426)"
HARD TIMES CAFE,1117 NELSON ST,ROCKVILLE,MD,20850,BBWLHR1502544,On Premise,"MORGAN HOWARD, LLC",No,"1117 NELSON ST
ROCKVILLE, MD 20850
(39.09174, -77.17436)"
ROUTE 108 PIZZA & BBQ,805 OLNEY SANDY SPRING,SANDY SPRING,MD,20860,BBWLHR464306,On Premise,"108 COMPANIES, LLC",No,"805 OLNEY SANDY SPRING
SANDY SPRING, MD 20860
(39.14982, -77.02557)"
TAIPEI TOKYO-ROCKVILLE PIKE,11510-A ROCKVILLE PIKE,ROCKVILLE,MD,20852,HBWHR27324,On Premise,"YENG XING INTERNATIONAL, INC",No,"11510-A ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.04537, -77.11255)"
MIDWAY BEER & WINE,16057 FREDERICK ROAD,DERWOOD,MD,20855,ABW279,Off Premise,SHIVA CORPORATION,Yes,"16057 FREDERICK ROAD
DERWOOD, MD 20855
(39.11892, -77.17059)"
KIIN IMM THAI RESTAURANT,785 D ROCKVILLE PIKE,ROCKVILLE,MD,20852,HBWHR34891,On Premise,"PATTARA, INC.",No,"785 D ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.07661, -77.14113)"
REGINA'S RESTAURANT,11423 GEORGIA AVE.,WHEATON,MD,20902,BBWLHR546348,On Premise,"ALVAREZ & CAMPOS, INC.",No,"11423 GEORGIA AVE.
WHEATON, MD 20902
(39.04216, -77.05183)"
AFRICAN PALACE,117 N. FREDERICK AVENUE,GAITHERSBURG,MD,20877,DBWL21494,On Premise,"AFRICAN PALACE, LLC",No,"117 N. FREDERICK AVENUE
GAITHERSBURG, MD 20877
(39.14319, -77.20012)"
DOUBLETREE BY HILTON SS DC N.,8777 GEORGIA AVE.,SILVER SPRING,MD,20910,BBWLHM629356,On Premise,"LCOF SS OPERATING, LLC",No,"8777 GEORGIA AVE.
SILVER SPRING, MD 20910
(38.99864, -77.03094)"
ROOTS MARKET,16800 GEORGIA AVENUE,OLNEY,MD,20832,DBW1349544,On/Off-Premise,"ROOTS OLNEY, LLC",No,"16800 GEORGIA AVENUE
OLNEY, MD 20832
(39.13183, -77.07132)"
DIAMOND SQUARE BEER & WINE,38 BUREAU DRIVE,GAITHERSBURG,MD,20878,ABW283,Off Premise,"J&J BEER AND WINE, INC.",Yes,"38 BUREAU DRIVE
GAITHERSBURG, MD 20878
(39.14388, -77.21731)"
EL PATIO,5240 RANDOLPH ROAD,ROCKVILLE,MD,20852,BBWHR113,On/Off-Premise,"EL PATIO INTERNATIONAL, INC.",No,"5240 RANDOLPH ROAD
ROCKVILLE, MD 20852
(39.05358, -77.10447)"
HILTON GARDEN INN,7301 WAVERLY ST,BETHESDA,MD,20814,BBWLHM1047440,On Premise,BETHESDA RE HOLDINGS LLC,No,"7301 WAVERLY ST
BETHESDA, MD 20814
(38.98326, -77.0923)"
METHI INDIAN RESTAURANT,2509 UNIVERSITY BLVD W.,SILVER SPRING,MD,20902,HBWHR27735,On Premise,"AARAMVA, LLC",No,"2509 UNIVERSITY BLVD W.
SILVER SPRING, MD 20902
(39.04143, -77.05216)"
CHEVY CHASE CLUB,6100 CONNECTICUT AVE,CHEVY CHASE,MD,20815,CBWLCCO008,On Premise,"CHEVY CHASE CLUB, INC.",No,"6100 CONNECTICUT AVE
CHEVY CHASE, MD 20815
(38.97586, -77.07773)"
BOYD'S COUNTRY STORE,15110 BARNESVILLE ROAD,BOYDS,MD,20841,DBW1016423,On/Off-Premise,P AND V GROUP LLC,Yes,"15110 BARNESVILLE ROAD
BOYDS, MD 20841
(39.18481, -77.31425)"
RUAN THAI,11407 AMHERST AVE,SILVER SPRING,MD,20902,HBW004,On Premise,RUAN THAI RESTAURANT INC.,No,"11407 AMHERST AVE
SILVER SPRING, MD 20902
(39.0418, -77.04784)"
EUROMART,"822 ROCKVILLE PIKE, UNIT C",ROCKVILLE,MD,20852,ABW39499,Off Premise,"EUROMART, LLC",No,"822 ROCKVILLE PIKE, UNIT C
ROCKVILLE, MD 20852
(39.07704, -77.13849)"
THAI CUISINE,3430-3434 OLNEY-LAYTONSVILLE RD.,OLNEY,MD,20832,HBWHR40499,On Premise,"THAI CUISINE 2005, INC.",No,"3430-3434 OLNEY-LAYTONSVILLE RD.
OLNEY, MD 20832
(39.15298, -77.068)"
MOOSE LODGE #1775,2901 BEL PRE ROAD,SILVER SPRING,MD,20906,CBWLFV006,On Premise,"WHEATON MOOSE LODGE #1775, INC",No,"2901 BEL PRE ROAD
SILVER SPRING, MD 20906
(39.09126, -77.0592)"
LOS PRIMOS TEX MEX GRILL,12303 TWINBROOK PARKWAY,ROCKVILLE,MD,20852,BBWLHR39399,On Premise,"LOS PRIMOS TEX MEX GRILL, INC.",No,"12303 TWINBROOK PARKWAY
ROCKVILLE, MD 20852
(39.05841, -77.11963)"
BBQ CHICKEN & BEER,2235 BEL PRE RD.,SILVER SPRING,MD,20906,BBWLHR655357,On Premise,"HIZ CHICKEN FACTORY, LLC",No,"2235 BEL PRE RD.
SILVER SPRING, MD 20906
(39.09183, -77.04777)"
MARRIOTT BETHESDA DOWNTOWN,7707 WOODMONT AVE.,BETHESDA,MD,20814,BBWLHM635355,On Premise,"MARRIOTT HOTEL SERVICES, LLC",No,"7707 WOODMONT AVE.
BETHESDA, MD 20814
(38.9872, -77.09596)"
TERRA MARE RESTAURANT & BAR,2504 ENNALLS AVE.,WHEATON,MD,20902,BBWLHR782365,On Premise,"TERRA MARE, INC.",No,"2504 ENNALLS AVE.
WHEATON, MD 20902
(39.03976, -77.05303)"
RATTLEWOOD GOLF COURSE,13501 PENN SHOP ROAD,MOUNT AIRY,MD,21771,BBWLCL186,On Premise,MONT.CO. REVENUE AUTHORITY,No,"13501 PENN SHOP ROAD
MOUNT AIRY, MD 21771
(39.34213, -77.19076)"
CHERCHER ETHIOPIAN CUISINE,4921 BETHESDA AVENUE,BETHESDA,MD,20814,BBWLHR34720,On Premise,"CHERO,LLC",No,"4921 BETHESDA AVENUE
BETHESDA, MD 20814
(38.98081, -77.09927)"
CENTER FOR LEADER EXCELLENCE,6777 & 6801 ROCKLEDGE DR.,BETHESDA,MD,20817,BBWLHR223265,On Premise,"ARAMARK SPORTS & ENTMT. SVCS., LLC",No,"6777 & 6801 ROCKLEDGE DR.
BETHESDA, MD 20817
(39.03051, -77.13953)"
FOX HILL CLUB & RESIDENCES,8300 BURDETTE ROAD,BETHESDA,MD,20817,BBWLHR800,On Premise,"WELLTOWER OPCO GROUP, LLC",No,"8300 BURDETTE ROAD
BETHESDA, MD 20817
(38.99111, -77.15201)"
MAKI MAKI SUSHI,8023 WISCONSIN AVE,BETHESDA,MD,20814,HBW224,On Premise,"JTL, LLC",No,"8023 WISCONSIN AVE
BETHESDA, MD 20814
(38.99112, -77.09566)"
MAYA CUISINE RESTAURANT & BAR,7345-A WISCONSIN AVE.,BETHESDA,MD,20814,BBWLHR490323,On/Off-Premise,"SHANGRILA MANAGEMENT, LLC",No,"7345-A WISCONSIN AVE.
BETHESDA, MD 20814
(38.98312, -77.09352)"
CUGINIS RESTAURANT & BAR,"19616 FISHER AVE, UNIT H",POOLESVILLE,MD,20837,BDBWL758,On/Off-Premise,"CUGINIS RESTAURANT & BAR, LLC",No,"19616 FISHER AVE, UNIT H
POOLESVILLE, MD 20837
(39.14406, -77.40922)"
ASPEN HILL RACQUET CLUB,14501 HOMECREST ROAD,SILVER SPRING,MD,20906,DBW010,On/Off-Premise,"ASPEN HILL TENNIS, INC.",No,"14501 HOMECREST ROAD
SILVER SPRING, MD 20906
(39.09403, -77.06008)"
SARON CONVENIENCE STORE,961 BONIFANT STREET,SILVER SPRING,MD,20910,ABW1119445,Off Premise,"SARON CONVENIENCE, LLC",No,"961 BONIFANT STREET
SILVER SPRING, MD 20910
(38.9936, -77.02599)"
JUNCTION BISTRO BAR & BAKERY,5471 WISCONSIN AVE.,CHEVY CHASE,MD,20815,BBWLHR767358,On Premise,"BAKER'S BREAD MD, LLC",No,"5471 WISCONSIN AVE.
CHEVY CHASE, MD 20815
(38.96283, -77.08659)"
N-Kaela Murphy,6 Bromwell Ct,Cockeysville,MD,21030,2025,,,No,"6 Bromwell Ct
Cockeysville, MD 21030
(39.47739, -76.60924)"
OPEN HAND,220 GIRARD ST SUITE B,GAITHERSBURG,MD,20877,ABW919431,Off Premise,DA CAPO LLC,No,"220 GIRARD ST SUITE B
GAITHERSBURG, MD 20877
(39.14193, -77.1831)"
HORNET'S NEST GRILLE,9876 MAIN ST,DAMASCUS,MD,20872,BBWLHR24736,On Premise,"HNG, LLC",No,"9876 MAIN ST
DAMASCUS, MD 20872
(39.28834, -77.20386)"
SANDY SPRING MART,905 OLNEY SANDY SPRING RD,SANDY SPRING,MD,20860,DBW961417,On/Off-Premise,SANDY SPRING MART INC,No,"905 OLNEY SANDY SPRING RD
SANDY SPRING, MD 20860
(39.14962, -77.02715)"
BREWS AND BARRELS,625 CENTER POINT WAY,GAITHERSBURG,MD,20878,BBWLHR224259,On Premise,"MAHI RESTAURANT, INC.",No,"625 CENTER POINT WAY
GAITHERSBURG, MD 20878
(39.12185, -77.23356)"
POTOMAC PIZZA,9812 FALLS ROAD,POTOMAC,MD,20854,BBWLHR132,On Premise,"PIZZA ZONE OF POTOMAC, INC.",No,"9812 FALLS ROAD
POTOMAC, MD 20854
(39.01812, -77.21102)"
LAMROT BAR & RESTAURANT,949 BONIFANT STREET STE B,SILVER SPRING,MD,20910,BBWLHR1270559,On Premise,"LAMROT BAR & RESTAURANT,LLC",No,"949 BONIFANT STREET STE B
SILVER SPRING, MD 20910
(38.99373, -77.02562)"
WORLD OF BEER,196-B EAST MONTGOMERY AVENUE,ROCKVILLE,MD,20850,BBWLHR22600,On Premise,"WOB ROCKVILLE, LLC",No,"196-B EAST MONTGOMERY AVENUE
ROCKVILLE, MD 20850
(39.08408, -77.15034)"
ETHIO-PLUS,11303 GEORGIA AVE,SILVER SPRING,MD,20902,ABW1003421,Off Premise,MSGANA LLC,No,"11303 GEORGIA AVE
SILVER SPRING, MD 20902
(39.04038, -77.05132)"
MON AMI GABI,7239 WOODMONT AVE,BETHESDA,MD,20814,BBWLHR330,On Premise,MON AMI BETHESDA LLC,No,"7239 WOODMONT AVE
BETHESDA, MD 20814
(38.98134, -77.09564)"
PARTY TIME BEER & WINE,11443 GEORGIA AVE,SILVER SPRING,MD,20902,ABW095,Off Premise,NONE,Yes,"11443 GEORGIA AVE
SILVER SPRING, MD 20902
(39.04262, -77.05141)"
MAHDANG,12300 WILKINS AVENUE,ROCKVILLE,MD,20852,BBWLHR43343,On Premise,"MASJIB, LLC",No,"12300 WILKINS AVENUE
ROCKVILLE, MD 20852
(39.05795, -77.11325)"
AIRPARK BEER AND WINE,"7601 AIRPARK ROAD, UNIT G",GAITHERSBURG,MD,20879,ABWS208,Off Premise,CRUNCHKIDS LLC,Yes,"7601 AIRPARK ROAD, UNIT G
GAITHERSBURG, MD 20879
(39.16988, -77.15499)"
QUINCY'S BAR & GRILLE,616 QUINCE ORCHARD ROAD,GAITHERSBURG,MD,20878,BBWLHR536,On Premise,"COTY GROUP, LLC",No,"616 QUINCE ORCHARD ROAD
GAITHERSBURG, MD 20878
(39.14179, -77.22118)"
DAD'S BEER & WINE,603 HUNGERFORD DRIVE,ROCKVILLE,MD,20850,ABWS203,Off Premise,"DAD'S BEER & WINE, LLC",Yes,"603 HUNGERFORD DRIVE
ROCKVILLE, MD 20850
(39.09165, -77.1521)"
CAFE SOPHIE,7940 AIRPARK ROAD SUITE 201,GAITHERSBURG,MD,20879,BBWHR888400,On/Off-Premise,CAFE SOPHE LLC,No,"7940 AIRPARK ROAD SUITE 201
GAITHERSBURG, MD 20879
(39.16785, -77.1623)"
ROCKVILLE BEER & WINE,15809 FREDERICK ROAD,DERWOOD,MD,20855,DBW497333,On/Off-Premise,"R&S SOLUTIONS, LLC",Yes,"15809 FREDERICK ROAD
DERWOOD, MD 20855
(39.11494, -77.16487)"
GIL'S RESTAURANT,8200 PINEY BRANCH ROAD,SILVER SPRING,MD,20910,BBWLHR684,On Premise,GILS RESTAURANT PARTNERSHIP,No,"8200 PINEY BRANCH ROAD
SILVER SPRING, MD 20910
(38.99309, -77.00955)"
SEVEN-ELEVEN STORE,14101 GEORGIA AVE.,SILVER SPRING,MD,20906,ABW100,Off Premise,MCMAHON-DENT INC.,Yes,"14101 GEORGIA AVE.
SILVER SPRING, MD 20906
(39.08518, -77.07778)"
MULUSHEWA GRILLE,"8241 GEORGIA AVENUE, SUITE 200",SILVER SPRING,MD,20910,BBWLHR1267555,On Premise,"MULUSHEWA, LLC",No,"8241 GEORGIA AVENUE, SUITE 200
SILVER SPRING, MD 20910
(38.99282, -77.02662)"
BT'S BETHESDA,4866 CORDELL AVENUE,BETHESDA,MD,20814,BDBWL1447544,On/Off-Premise,"4866 LIBERTY, LLC",No,"4866 CORDELL AVENUE
BETHESDA, MD 20814
(38.98964, -77.09784)"
ARADA MARKET,6844 NEW HAMPSHIRE AVE,TAKOMA PARK,MD,20912,DBW1300545,On/Off-Premise,Y AND E INCORPORATED,No,"6844 NEW HAMPSHIRE AVE
TAKOMA PARK, MD 20912
(38.97463, -76.9956)"
OWENS ORDINARY,11820 TRADE STREET,NORTH BETHESDA,MD,20852,BBWLHR24646,On Premise,"NEIGHBORHOOD REST. GROUP XX, LLC",No,"11820 TRADE STREET
NORTH BETHESDA, MD 20852
(39.04966, -77.11606)"
"GLENMONT BEER, WINE & DELI",12351 GEORGIA AVE,SILVER SPRING,MD,20906,ABW176,Off Premise,"JYL,INC.",No,"12351 GEORGIA AVE
SILVER SPRING, MD 20906
(39.06071, -77.04949)"
BREW BELLY,18065 GEORGIA AVE,OLNEY,MD,20832,BDBWL31001,On/Off-Premise,"BREW BELLY, LLC",No,"18065 GEORGIA AVE
OLNEY, MD 20832
(39.15232, -77.06646)"
